萬,万
與,与
兩,両
竝,並
乘,乗
亂,乱
龜,亀
豫,予
爭,争
亙,亘
亞,亜
佛,仏
假,仮
會,会
傳,伝
體,体
餘,余
倂,併
價,価
侮,侮
儉,倹
僞,偽
僧,僧
免,免
兒,児
黨,党
圓,円
册,冊
寫,写
處,処
劍,剣
劑,剤
剩,剰
勵,励
勞,労
效,効
敕,勅
勉,勉
勤,勤
勸,勧
勳,勲
區,区
醫,医
卑,卑
單,単
卽,即
嚴,厳
參,参
雙,双
收,収
敍,叙
臺,台
號,号
喝,喝
營,営
嘆,嘆
囑,嘱
器,器
團,団
圍,囲
圖,図
國,国
圈,圏
壓,圧
墮,堕
塀,塀
壘,塁
塚,塚
鹽,塩
增,増
墨,墨
壞,壊
壤,壌
壯,壮
聲,声
壹,壱
賣,売
變,変
奧,奥
奬,奨
孃,嬢
學,学
寶,宝
實,実
寬,寛
寢,寝
對,対
壽,寿
專,専
將,将
堯,尭
盡,尽
屆,届
屬,属
層,層
嶽,岳
峽,峡
巖,巌
巢,巣
卷,巻
帶,帯
歸,帰
廳,庁
廣,広
廢,廃
廊,廊
辨,弁
瓣,弁
辯,弁
貳,弐
彌,弥
彈,弾
當,当
徑,径
從,従
德,徳
徵,徴
應,応
戀,恋
恆,恒
惠,恵
悔,悔
惱,悩
惡,悪
慘,惨
愼,慎
慨,慨
憎,憎
懷,懐
懲,懲
戰,戦
戲,戯
戾,戻
拂,払
拔,抜
擇,択
擔,担
拜,拝
據,拠
擴,拡
擧,挙
挾,挟
插,挿
搜,捜
揭,掲
搖,揺
攝,摂
擊,撃
敏,敏
數,数
齊,斉
齋,斎
斷,断
既,既
舊,旧
晝,昼
晉,晋
晚,晩
曉,暁
暑,暑
曆,暦
朗,朗
條,条
來,来
樞,枢
榮,栄
櫻,桜
棧,桟
梅,梅
檢,検
樓,楼
樂,楽
槪,概
樣,様
槇,槙
權,権
橫,横
欄,欄
缺,欠
歐,欧
歡,歓
步,歩
齒,歯
歷,歴
殘,残
毆,殴
殺,殺
殼,殻
每,毎
氣,気
沒,没
澤,沢
淨,浄
淺,浅
濱,浜
海,海
淚,涙
渴,渇
濟,済
涉,渉
澁,渋
溪,渓
渚,渚
溫,温
灣,湾
濕,湿
滿,満
瀧,滝
滯,滞
漢,漢
潛,潜
瀨,瀬
燈,灯
爐,炉
點,点
爲,為
燒,焼
煮,煮
犧,犠
狀,状
獨,独
狹,狭
獵,猟
猪,猪
獻,献
獸,獣
琢,琢
瑤,瑶
甁,瓶
畫,画
疊,畳
癡,痴
發,発
盜,盗
縣,県
眞,真
硏,研
碎,砕
碑,碑
禮,礼
社,社
祈,祈
祉,祉
祐,祐
祖,祖
祝,祝
神,神
祥,祥
祿,禄
禪,禅
禍,禍
禎,禎
福,福
祕,秘
稱,称
稻,稲
穀,穀
穗,穂
穩,穏
穰,穣
突,突
竊,窃
龍,竜
節,節
粹,粋
肅,粛
絲,糸
經,経
繪,絵
繼,継
續,続
總,総
綠,緑
緖,緒
練,練
緣,縁
繩,縄
縱,縦
繁,繁
纖,繊
罐,缶
署,署
飜,翻
者,者
聰,聡
聽,聴
膽,胆
腦,脳
臟,臓
臭,臭
舍,舎
舖,舗
艷,艶
藝,芸
莖,茎
莊,荘
著,著
藏,蔵
薰,薫
藥,薬
虛,虚
虜,虜
蟲,虫
蠶,蚕
螢,蛍
蠻,蛮
衞,衛
裝,装
褐,褐
襃,褒
霸,覇
視,視
覺,覚
覽,覧
觀,観
觸,触
譯,訳
證,証
譽,誉
讀,読
諸,諸
謁,謁
謠,謡
謹,謹
讓,譲
豐,豊
賓,賓
贊,賛
贈,贈
踐,践
轉,転
輕,軽
辭,辞
邊,辺
遞,逓
逸,逸
遲,遅
遙,遥
郞,郎
鄕,郷
都,都
醉,酔
釀,醸
釋,釈
鐵,鉄
鑛,鉱
錢,銭
鑄,鋳
鍊,錬
錄,録
鎭,鎮
關,関
鬪,闘
陷,陥
險,険
隆,隆
隨,随
隱,隠
隸,隷
雜,雑
難,難
靈,霊
靜,静
響,響
頻,頻
賴,頼
顏,顔
顯,顕
類,類
飮,飲
驛,駅
驅,駆
騷,騒
驗,験
髓,髄
髮,髪
鷄,鶏
麥,麦
黃,黄
黑,黒
默,黙
齡,齢
乘,乗
亂,乱
亙,亘
亞,亜
佛,仏
來,来
倂,併
假,仮
傳,伝
僞,偽
價,価
儉,倹
兒,児
兩,両
册,冊
剩,剰
劍,剣
劑,剤
勞,労
勳,勲
勵,励
勸,勧
區,区
